nodo_id,etiqueta,grado,estado
video:iWYddxEszoM,#EnVivoDCA | Conferencia de prensa del Gobierno de Guatemala,0,aislado observado
video:iacCQ4VyWWc,"Los conservadores y los liberales, Historia de Guatemala",0,aislado observado
video:ifJFNGT4azU,Podcast Guatemala Ahora Yo Se: Medidas De Seguridad Con el Lic. Ariel Yos y el Lic. Gabriel Quiñones,0,aislado observado
video:is3Mk5oC19g,Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu,1,hoja
video:j4akBH678fw,El paso a desnivel Calzada Roosevelt lleva más conexión y mejor movilidad para la población.,0,aislado observado
video:jQGvhMPMuAI,#DiálogoCentral | El clima de la semana: adiós a la canícula ¿llegan las lluvias? 🌦️,0,aislado observado
video:jSw-nFh94qQ,Gobernación promueve espacios de sana convivencia,0,aislado observado
video:kaZgtwqwLrI,@rumzacapait @GobiernodeGuatemala,0,aislado observado
video:kjwvEESqSHA,¿VALE la PENA VIAJAR de GUATEMALA a  XELA en BUS?  Descúbrelo,0,aislado observado
video:l-mH80ygqFY,Avances en proyectos municipales por el desarrollo y bienestar en la ciudad.,0,aislado observado
video:lAsODhYGcTE,Gobierno busca a toda costa sacar a Consuelo Porras,0,aislado observado
video:lNuxq8OKCpc,Lluvias convierten calles en ríos en Villa Nueva y San Miguel Petapa,0,aislado observado
video:lYyGqHAL5nM,Comuna lanzó nueva imagen de la PM y PMT,0,aislado observado
video:lj983NWyAQY,Plan 2032 Ciudad de Guatemala,0,aislado observado
video:lkdwGwrJKeM,🇬🇹 ¿Es seguro VIAJAR a Guatemala? Consejos prácticos para que todo te salga bien,0,aislado observado
video:mCoOL2p0il4,Municipalidad de Guatemala   08/08/2025,0,aislado observado
video:mPtR2HskBTE,Municipalidad de Guatemala   17/02/2025,0,aislado observado
video:mQH6bhmp_LY,Quorum: ¿Cómo investigamos la crisis del agua?,0,aislado observado
video:n31eyGuRKqo,El tráfico en Guatemala nos está enfermando - TanGente Salud Mental,0,aislado observado
video:n4xHxJPNr78,🚫LOS FAMOSOS BUSES ESMERALDA los mas RÁPIDOS DE GUATEMALA 😱,0,aislado observado
video:nKJhNH86HGE,Se realiza taller de UNICEF sobre el plan de acción de la política pública contra la violencia sexua,0,aislado observado
video:nPbC8-Ebat4,Pareja de sicarios capturada tras ataque armado contra piloto de autobús,0,aislado observado
video:ncOU7iZR5jY,Carlos Pineda y Andre Pozuelos | Seguridad II- Guatemala tiene solución | Ep. 3,0,aislado observado
video:nhhXiHI4rrw,Policía Nacional Civil participa en desfile del día del Ejército. #ProtegerYServir,0,aislado observado
video:nv6wMdQ997Q,PMT en todo,0,aislado observado
video:pNInRBsPbHE,Encuentro por el agua,0,aislado observado
